date,temperature,wind_speed,rainfall,pressure
2023-01-13,23.8,10.5,0.0,1013.9
2023-01-14,21.7,11.0,0.0,1013.8
2023-01-15,21.8,6.9,0.0,1012.1
2023-01-16,22.3,7.3,0.0,1012.1
2023-01-17,23.1,7.9,0.0,1012.8
2023-01-18,24.0,8.5,0.0,1013.5
2023-01-19,23.9,6.9,0.3,1013.5
2023-01-20,24.0,6.9,0.0,1013.4
2023-01-21,24.2,8.6,0.0,1013.7
2023-01-22,22.8,9.1,0.0,1013.1
2023-01-23,21.9,10.3,0.0,1012.5
2023-01-24,21.7,9.6,0.0,1012.9
2023-01-25,21.8,10.3,0.0,1012.8
2023-01-26,23.2,7.4,0.0,1012.1
2023-01-27,26.3,6.9,0.0,1010.9
2023-01-28,26.8,8.9,0.0,1010.2
2023-01-29,25.3,8.2,0.0,1009.9
2023-01-30,25.3,8.7,0.0,1012.7
2023-01-31,26.3,9.6,0.0,1012.2
2023-02-01,28.3,10.6,0.0,1011.4
2023-02-02,28.8,12.3,0.0,1011.9
2023-02-03,27.7,8.2,0.0,1012.8
2023-02-04,26.6,6.9,0.0,1011.5
2023-02-05,27.0,7.4,0.0,1010.6
2023-02-06,26.2,9.5,0.0,1011.2
2023-02-07,26.2,9.8,0.0,1011.0
2023-02-08,27.3,7.3,0.0,1011.1
2023-02-09,28.3,8.7,0.0,1011.4
2023-02-10,27.5,8.2,0.0,1012.8
2023-02-11,27.1,9.4,0.0,1013.6
2023-02-12,27.7,7.7,0.0,1013.4
2023-02-13,29.7,11.1,0.0,1013.3
2023-02-14,28.6,8.3,0.0,1013.1
2023-02-15,27.9,6.3,0.0,1011.5
2023-02-16,29.3,11.1,0.0,1011.8
2023-02-17,29.5,9.5,0.0,1012.0
2023-02-18,30.3,9.4,0.0,1011.7
2023-02-19,28.9,7.7,0.0,1011.7
2023-02-20,28.0,7.7,0.0,1012.2
2023-02-21,27.8,7.8,0.0,1012.6
2023-02-22,26.9,8.8,0.0,1012.3
2023-02-23,27.8,8.3,0.0,1011.4
2023-02-24,29.1,8.6,0.0,1012.4
2023-02-25,29.4,8.5,0.0,1014.1
2023-02-26,28.9,9.1,0.0,1014.6
2023-02-27,28.5,8.6,0.0,1014.2
2023-02-28,27.2,6.0,0.0,1014.6
2023-03-01,28.0,7.1,0.0,1014.9
2023-03-02,29.9,8.3,0.0,1015.1
2023-03-03,30.6,7.3,0.0,1015.4
2023-03-04,30.4,6.3,0.0,1015.2
2023-03-05,30.8,7.3,0.0,1014.7
2023-03-06,30.7,12.6,0.0,1013.5
2023-03-07,29.4,10.5,0.0,1013.4
2023-03-08,30.1,8.6,0.3,1013.3
2023-03-09,31.7,12.0,0.0,1012.6
2023-03-10,30.8,10.1,0.0,1012.0
2023-03-11,31.4,8.1,0.0,1011.2
2023-03-12,31.6,9.3,0.0,1010.8
2023-03-13,31.5,8.9,0.0,1009.9
2023-03-14,30.8,9.8,0.0,1008.7
2023-03-15,29.3,9.7,0.0,1007.5
2023-03-16,27.9,10.3,0.0,1009.1
2023-03-17,28.0,11.0,0.0,1009.8
2023-03-18,27.9,11.1,0.0,1008.9
2023-03-19,27.5,10.1,0.1,1009.0
2023-03-20,27.6,11.9,0.0,1008.7
2023-03-21,26.4,10.6,17.0,1009.4
2023-03-22,27.7,9.5,0.3,1010.1
2023-03-23,27.7,9.5,0.0,1010.3
2023-03-24,27.7,9.7,0.0,1010.5
2023-03-25,26.9,10.2,0.0,1011.4
2023-03-26,26.2,8.6,0.0,1011.3
2023-03-27,26.8,9.7,0.0,1010.8
2023-03-28,27.4,11.0,0.0,1010.1
2023-03-29,27.2,9.2,0.0,1010.6
2023-03-30,27.3,11.4,0.0,1010.2
2023-03-31,28.2,10.2,3.3,1009.6
2023-04-01,27.4,10.8,0.0,1010.3
2023-04-02,27.4,9.7,0.0,1009.9
2023-04-03,27.5,9.6,0.0,1009.6
2023-04-04,27.8,8.9,0.0,1010.1
2023-04-05,28.2,9.9,0.0,1009.9
2023-04-06,29.5,9.5,0.0,1009.7
2023-04-07,30.7,9.8,0.0,1010.3
2023-04-08,31.1,7.9,0.0,1011.7
2023-04-09,31.2,8.1,0.0,1012.2
2023-04-10,31.5,9.8,0.0,1010.5
2023-04-11,31.3,10.3,0.0,1010.8
2023-04-12,32.2,11.0,0.0,1010.2
2023-04-13,31.7,9.7,15.0,1010.1
2023-04-14,31.2,9.9,0.0,1010.0
2023-04-15,30.4,8.5,0.0,1010.0
2023-04-16,30.4,11.6,0.0,1008.7
2023-04-17,30.1,10.1,0.0,1008.8
2023-04-18,31.9,10.6,0.0,1009.0
2023-04-19,33.3,11.4,0.0,1006.7
2023-04-20,31.5,11.1,0.0,1005.7
2023-04-21,29.3,10.3,0.0,1006.3
2023-04-22,28.8,10.9,0.0,1007.0
2023-04-23,28.8,10.5,0.0,1007.3
2023-04-24,29.0,10.1,0.0,1007.4
2023-04-25,29.7,11.2,0.0,1007.5
2023-04-26,29.7,12.9,0.0,1008.2
2023-04-27,29.5,11.3,0.0,1008.2
2023-04-28,29.5,11.3,0.0,1009.0
2023-04-29,29.6,9.7,0.3,1008.4
2023-04-30,29.2,11.0,0.0,1007.2
2023-05-01,29.3,9.3,0.0,1007.1
2023-05-02,29.6,10.9,0.4,1007.6
2023-05-03,29.7,10.4,0.0,1009.0
2023-05-04,29.5,11.0,0.0,1008.3
2023-05-05,29.7,11.7,0.0,1007.6
2023-05-06,29.9,10.5,0.0,1007.8
2023-05-07,30.1,10.9,0.0,1007.9
2023-05-08,30.4,10.9,0.0,1007.1
2023-05-09,30.6,10.5,0.0,1007.5
2023-05-10,30.9,11.1,0.0,1006.5
2023-05-11,31.4,10.2,0.0,1006.9
2023-05-12,31.2,11.5,0.0,1007.5
2023-05-13,31.4,10.5,0.0,1008.3
2023-05-14,31.3,8.1,0.0,1007.9
2023-05-15,31.3,13.3,0.0,1008.8
2023-05-16,31.5,13.2,0.0,1010.2
2023-05-17,31.2,10.0,0.0,1010.2
2023-05-18,30.9,9.9,0.0,1011.2
2023-05-19,30.8,10.6,0.0,1009.8
2023-05-20,30.7,10.9,0.0,1009.3
2023-05-21,30.8,11.4,0.0,1009.8
2023-05-22,30.6,10.6,0.0,1010.4
2023-05-23,30.9,11.2,0.0,1010.5
2023-05-24,31.1,11.2,0.0,1010.3
2023-05-25,31.2,14.4,0.0,1010.7
2023-05-26,31.2,14.3,0.2,1011.0
2023-05-27,31.2,12.5,0.0,1010.0
2023-05-28,31.3,12.2,0.0,1009.0
2023-05-29,31.4,12.3,0.0,1008.5
2023-05-30,31.5,9.6,0.0,1008.5
2023-05-31,31.9,9.5,0.0,1008.1
2023-06-01,31.2,9.1,0.0,1008.1
2023-06-02,31.3,10.7,0.0,1008.9
2023-06-03,31.8,14.9,0.0,1008.2
2023-06-04,31.9,13.2,0.0,1007.8
2023-06-05,31.3,12.8,0.0,1007.5
2023-06-06,31.6,13.6,0.0,1007.0
2023-06-07,31.4,14.9,0.0,1006.6
2023-06-08,32.1,11.8,0.1,1006.9
2023-06-09,32.6,15.0,3.8,1005.1
2023-06-10,32.9,17.6,3.9,1003.4
2023-06-11,31.1,20.8,0.0,1002.8
2023-06-12,31.3,21.2,4.1,1002.1
2023-06-13,30.4,20.7,0.0,1003.7
2023-06-14,30.8,17.9,6.1,1005.7
2023-06-15,31.4,19.2,0.0,1006.1
2023-06-16,30.9,20.9,0.0,1005.4
2023-06-17,31.0,17.2,4.1,1006.5
2023-06-18,30.8,16.0,0.0,1007.1
2023-06-19,30.7,13.9,0.0,1006.0
2023-06-20,31.1,13.5,2.0,1005.1
2023-06-21,31.2,14.5,0.9,1005.5
2023-06-22,31.2,14.9,1.0,1005.8
2023-06-23,31.2,12.9,3.3,1004.8
2023-06-24,27.4,8.9,11.9,1003.7
2023-06-25,26.9,8.6,176.0,1004.0
2023-06-26,27.7,11.1,47.0,1004.8
2023-06-27,28.4,12.0,90.9,1004.9
2023-06-28,27.0,11.7,37.1,1005.5
2023-06-29,27.7,14.2,121.9,1005.7
2023-06-30,26.9,15.7,47.0,1005.6
2023-07-01,27.9,15.2,111.0,1006.3
2023-07-02,27.8,11.7,22.1,1005.3
2023-07-03,29.1,11.9,45.0,1003.4
2023-07-04,27.3,5.3,20.1,1001.7
2023-07-05,27.2,6.5,89.9,1000.2
2023-07-06,26.9,10.7,69.1,1001.6
2023-07-07,27.9,14.2,54.1,1002.4
2023-07-08,29.3,15.9,63.0,1004.5
2023-07-09,28.7,14.7,7.1,1005.6
2023-07-10,29.7,15.9,13.0,1006.2
2023-07-11,29.4,13.8,6.1,1006.4
2023-07-12,29.1,14.0,0.0,1005.1
2023-07-13,29.0,13.9,1.0,1004.6
2023-07-14,26.6,8.9,53.1,1006.5
2023-07-15,29.4,12.3,52.1,1006.9
2023-07-16,28.6,14.7,4.1,1006.0
2023-07-17,26.7,12.1,25.9,1004.8
2023-07-18,27.3,13.9,119.9,1003.4
2023-07-19,27.2,15.6,53.1,1001.2
2023-07-20,27.3,13.5,99.1,1001.7
2023-07-21,26.6,12.5,29.0,1003.9
2023-07-22,26.6,13.9,204.0,1004.2
2023-07-23,26.9,13.6,49.0,1003.3
2023-07-24,27.3,13.1,101.1,1003.8
2023-07-25,27.1,16.3,55.9,1005.5
2023-07-26,26.3,14.7,86.1,1006.6
2023-07-27,26.3,15.8,145.0,1006.9
2023-07-28,26.7,15.7,119.1,1007.1
2023-07-29,27.6,15.0,36.1,1007.5
2023-07-30,28.3,14.8,24.9,1006.7
2023-07-31,28.4,14.2,9.9,1005.9
2023-08-01,28.3,17.8,3.0,1006.1
2023-08-02,28.7,15.0,2.0,1006.8
2023-08-03,28.3,16.2,1.0,1006.2
2023-08-04,28.4,17.6,4.1,1007.2
2023-08-05,28.8,16.1,6.1,1009.1
2023-08-06,28.6,16.2,0.3,1008.7
2023-08-07,28.7,15.1,3.0,1007.1
2023-08-08,28.9,16.2,0.0,1007.4
2023-08-09,28.8,14.2,0.5,1009.5
2023-08-10,28.6,14.5,2.0,1010.1
2023-08-11,28.7,15.6,5.1,1009.6
2023-08-12,28.7,14.6,2.0,1009.3
2023-08-13,28.9,16.1,1.0,1007.8
2023-08-14,29.1,16.3,1.0,1008.1
2023-08-15,29.0,13.8,0.0,1008.2
2023-08-16,29.0,14.4,4.2,1009.3
2023-08-17,29.0,15.2,4.4,1009.2
2023-08-18,29.2,13.9,0.5,1008.1
2023-08-19,28.6,14.1,4.1,1006.6
2023-08-20,28.7,14.1,2.0,1006.6
2023-08-21,28.2,13.5,4.1,1007.2
2023-08-22,27.6,8.5,24.9,1007.3
2023-08-23,28.3,12.4,6.1,1007.2
2023-08-24,28.4,12.9,3.0,1006.2
2023-08-25,28.5,14.1,2.0,1006.2
2023-08-26,27.4,14.3,45.0,1007.7
2023-08-27,27.2,11.8,24.9,1008.9
2023-08-28,28.3,10.7,23.1,1008.3
2023-08-29,28.9,11.0,7.1,1008.1
2023-08-30,29.0,9.9,0.8,1008.9
2023-08-31,29.5,10.0,0.0,1008.6
2023-09-01,29.6,10.1,0.9,1008.5
2023-09-02,27.8,9.6,1.0,1008.5
2023-09-03,27.1,9.7,1.0,1007.6
2023-09-04,28.8,9.8,0.3,1006.5
2023-09-05,29.2,8.9,0.0,1005.9
2023-09-06,29.5,11.3,0.0,1005.8
2023-09-07,26.4,10.6,7.9,1005.5
2023-09-08,27.2,12.4,111.0,1005.7
2023-09-09,28.8,13.3,75.9,1005.7
2023-09-10,29.1,14.2,2.0,1006.0
2023-09-11,29.2,13.2,0.0,1006.4
2023-09-12,29.1,14.0,0.0,1007.3
2023-09-13,29.2,14.2,0.3,1006.5
2023-09-14,26.8,9.6,13.0,1006.6
2023-09-15,28.4,10.2,55.1,1006.5
2023-09-16,28.8,15.8,3.0,1005.9
2023-09-17,28.2,14.1,2.0,1005.1
2023-09-18,28.1,12.9,27.9,1004.9
2023-09-19,29.6,12.6,10.9,1006.3
2023-09-20,27.8,10.1,10.9,1006.9
2023-09-21,28.2,9.8,19.1,1007.6
2023-09-22,27.1,6.1,19.1,1007.9
2023-09-23,26.8,6.4,1.0,1008.7
2023-09-24,26.7,6.1,16.0,1009.1
2023-09-25,28.2,8.3,9.9,1007.8
2023-09-26,28.4,9.6,0.5,1007.4
2023-09-27,27.2,9.0,7.9,1007.1
2023-09-28,28.2,7.4,30.0,1005.5
2023-09-29,28.7,7.0,51.1,1004.8
2023-09-30,29.1,9.5,6.1,1004.6
2023-10-01,28.4,10.4,8.9,1005.7
2023-10-02,28.3,12.1,3.0,1008.7
2023-10-03,28.6,9.0,0.0,1009.9
2023-10-04,28.9,9.1,0.0,1010.6
2023-10-05,29.2,8.7,0.0,1010.2
2023-10-06,29.1,10.0,0.3,1009.3
2023-10-07,29.3,9.3,0.0,1009.6
2023-10-08,29.9,9.7,0.0,1010.3
2023-10-09,30.9,8.6,0.0,1011.5
2023-10-10,30.5,9.3,0.0,1011.6
2023-10-11,30.1,11.2,0.0,1011.5
2023-10-12,30.3,8.4,0.0,1011.4
2023-10-13,30.7,8.1,0.1,1011.9
2023-10-14,30.9,8.8,0.0,1011.9
2023-10-15,30.8,9.4,0.0,1010.5
2023-10-16,31.1,9.0,0.5,1010.1
2023-10-17,30.8,7.8,0.2,1011.4
2023-10-18,31.7,8.2,0.0,1012.1
2023-10-19,31.0,8.9,0.0,1011.8
2023-10-20,31.0,7.8,0.0,1011.5
2023-10-21,31.3,9.7,0.0,1012.0
2023-10-22,31.4,8.7,0.0,1012.6
2023-10-23,31.1,9.0,0.0,1011.7
2023-10-24,30.9,8.7,0.0,1011.3
2023-10-25,30.5,8.2,0.0,1012.7
2023-10-26,30.1,9.9,0.0,1013.0
2023-10-27,30.0,10.5,0.0,1011.7
2023-10-28,30.1,8.9,0.0,1011.5
2023-10-29,29.8,8.6,0.0,1011.1
2023-10-30,30.1,8.4,0.0,1010.8
2023-10-31,29.9,9.1,0.0,1011.7
2023-11-01,30.0,8.4,0.0,1012.3
2023-11-02,29.9,8.0,0.0,1011.6
2023-11-03,30.5,8.3,0.0,1009.8
2023-11-04,31.4,10.1,0.0,1009.1
2023-11-05,30.4,9.3,0.0,1010.7
2023-11-06,30.0,8.2,0.0,1012.1
2023-11-07,29.7,8.4,0.0,1012.0
2023-11-08,29.2,9.1,0.0,1011.6
2023-11-09,29.6,10.7,0.0,1012.2
2023-11-10,29.5,8.1,0.0,1013.2
2023-11-11,30.8,9.6,0.0,1013.5
2023-11-12,31.3,6.9,0.0,1013.4
2023-11-13,30.6,8.7,0.0,1012.9
2023-11-14,29.6,8.1,0.0,1012.6
2023-11-15,29.4,8.5,0.0,1012.5
2023-11-16,29.0,7.8,0.0,1012.8
2023-11-17,29.4,7.9,0.0,1012.6
2023-11-18,29.0,8.7,0.0,1011.9
2023-11-19,29.3,7.4,0.0,1011.8
2023-11-20,30.6,8.5,0.0,1011.9
2023-11-21,30.4,9.3,0.0,1011.9
2023-11-22,29.7,10.7,0.0,1011.3
2023-11-23,29.0,8.2,0.0,1009.7
2023-11-24,30.0,8.7,0.0,1009.4
2023-11-25,30.2,8.7,0.0,1011.2
2023-11-26,26.8,11.4,5.1,1011.4
2023-11-27,27.7,9.6,2.0,1011.0
2023-11-28,27.3,9.0,0.0,1010.2
2023-11-29,26.6,8.1,0.0,1011.2
2023-11-30,26.5,8.2,0.0,1011.6
2023-12-01,26.7,8.6,0.0,1011.2
2023-12-02,27.6,7.7,0.0,1010.2
2023-12-03,29.2,7.8,0.0,1010.3
2023-12-04,29.4,9.0,0.0,1009.6
2023-12-05,28.7,9.1,0.0,1008.8
2023-12-06,28.4,11.5,0.0,1009.6
2023-12-07,27.5,9.2,0.0,1010.8
2023-12-08,27.8,9.8,0.0,1011.3
2023-12-09,28.0,8.6,0.0,1012.2
2023-12-10,28.4,8.3,0.0,1011.1
2023-12-11,28.0,8.2,0.0,1011.6
2023-12-12,27.3,8.4,0.0,1010.9
2023-12-13,27.2,7.4,0.0,1011.5
2023-12-14,28.0,8.5,0.0,1012.6
2023-12-15,27.5,9.0,0.0,1013.9
2023-12-16,27.3,9.6,0.0,1013.3
2023-12-17,27.7,11.3,0.0,1012.3
2023-12-18,28.2,11.5,0.0,1013.1
2023-12-19,27.7,11.7,0.0,1013.9
2023-12-20,27.0,9.8,0.0,1013.7
2023-12-21,27.8,8.7,0.0,1012.9
2023-12-22,28.0,7.2,0.0,1012.8
2023-12-23,28.1,8.0,0.0,1013.4
2023-12-24,28.1,8.2,0.0,1014.8
2023-12-25,28.8,9.4,0.0,1014.5
2023-12-26,28.2,7.1,0.0,1014.5
2023-12-27,27.9,7.3,0.0,1014.8
2023-12-28,27.8,8.7,0.0,1013.3
2023-12-29,28.1,7.1,0.0,1013.3
2023-12-30,27.9,7.5,0.0,1012.8
2023-12-31,27.7,6.7,0.0,1012.3
